case,clean_fit_mse,final_error_percent,model,omega,run_idx,s_r,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
full_cover,0.0009372523105445375,10.824120076069844,A_current_phys005_res010,0.05,0,0.1,20.161440535308923,3.5306198556654254,0.0012404837064832295
full_cover,0.0011349997349431509,15.56699613403064,A_current_phys005_res010,0.05,1,0.1,22.750171514134596,3.8609512552548604,0.0011528934417944852
full_cover,0.0008309522680070451,12.935178536441834,A_current_phys005_res010,0.05,2,0.1,23.108922735350706,2.895505169113432,0.0005724842508759128
full_cover,0.0008269876637360217,22.486149645097925,A_current_phys005_res010,0.05,3,0.1,27.512542109399295,3.0479936282826094,0.001078689551142851
full_cover,0.0006841610120995303,5.425868842482616,A_current_phys005_res010,0.05,4,0.1,19.5409673782367,2.7846320316778366,0.0005108834808998407
full_cover,0.0009599767002199755,30.889322740557557,A_current_phys005_res010,0.05,5,0.1,32.22349084370912,3.3963743156968205,0.0007919087108694094
full_cover,0.0009199042472261134,5.780027084520621,A_current_phys005_res010,0.05,6,0.1,14.408052745011812,3.432877408501083,0.0006471676772972564
full_cover,0.0006432475764478293,8.055601550287191,A_current_phys005_res010,0.05,7,0.1,18.776014103629883,3.1018491957922785,0.0009453352612754965
full_cover,0.0006456139133293531,2.891188907420223,A_current_phys005_res010,0.05,8,0.1,17.00909331170103,3.102296520196534,0.0007301427934741038
full_cover,0.0009625417015719517,12.987143586976575,A_current_phys005_res010,0.05,9,0.1,22.142151111244356,3.542678145937078,0.0010991372911740023
full_cover,0.0005288820721770936,12.85486063951598,A_current_phys005_res010,0.05,10,0.1,22.045134402558386,2.6190519164446915,0.0008829750386214544
full_cover,0.0003861024935600429,16.302465825534615,A_current_phys005_res010,0.05,11,0.1,22.501718098536237,2.416452191726442,0.0005112241916824983
full_cover,0.000597424404198016,13.324796451556086,A_current_phys005_res010,0.05,12,0.1,23.270584320578973,2.6149453134128318,0.0005835020278475492
full_cover,0.0012899245556089961,11.15976251121456,A_current_phys005_res010,0.05,13,0.1,11.374237442871337,4.199671891589995,0.0016429668414112563
full_cover,0.0005444262138171289,9.078810852131525,A_current_phys005_res010,0.05,14,0.1,20.510674961170185,2.7803096218419054,0.0007091937559956083
full_cover,0.000984280483578398,22.863936638023883,A_current_phys005_res010,0.05,15,0.1,25.95302640040156,3.580732685613624,0.0010199867891036941
full_cover,0.0008175092059774555,19.96955530157652,A_current_phys005_res010,0.05,16,0.1,20.000912235191503,3.0730697838045784,0.0008012338003583908
full_cover,0.000657096173665259,28.016046776489453,A_current_phys005_res010,0.05,17,0.1,27.441120598513773,2.941996198879091,0.0009314410723908871
full_cover,0.0008086420267246494,9.101612265803512,A_current_phys005_res010,0.05,18,0.1,17.630391669483537,3.3289065484879767,0.001270489436479492
full_cover,0.0009643213896115231,45.91119356373474,A_current_phys005_res010,0.05,19,0.1,39.062470418002384,3.47364519449508,0.0009335587121530153
full_cover,0.0007519474291139644,13.6187576377605,B_weak_phys001_res020,0.01,0,0.2,22.22055429225891,3.1921192629662096,0.0010646060623069888
full_cover,0.0009961401403064762,16.76761962846644,B_weak_phys001_res020,0.01,1,0.2,23.94234356505024,3.6396009305566803,0.0010325319043082426
full_cover,0.0007412899227312816,16.324861843970776,B_weak_phys001_res020,0.01,2,0.2,25.35225200307073,2.690172756977885,0.00048565058607600453
full_cover,0.0007375444561300075,20.591340586234786,B_weak_phys001_res020,0.01,3,0.2,27.102588075269495,2.8779057353790582,0.0009878446449560496
full_cover,0.0006469871163639673,0.32183526963675063,B_weak_phys001_res020,0.01,4,0.2,17.953939818666083,2.7439076305552987,0.00046202604936745206
full_cover,0.0007750748451885844,30.12365524067087,B_weak_phys001_res020,0.01,5,0.2,32.02485220256779,3.0792871377262707,0.0006409902490317381
full_cover,0.0008402454756118706,-2.6689391258426576,B_weak_phys001_res020,0.01,6,0.2,15.545238995536007,3.346640421932471,0.0005898608497853114
full_cover,0.0006297902250816802,5.591874054865931,B_weak_phys001_res020,0.01,7,0.2,18.53436402061104,3.052245203936416,0.0009336634059480849
