case,median_clean_fit_mse,median_final_error_percent,median_test_rel_rmse_percent,median_train_rel_rmse_percent,median_used_fit_mse,model
full_cover,0.0008222484348567385,12.961161061709205,22.09364275690137,3.102072857994406,0.0009072080555061707,A_current_phys005_res010
full_cover,0.0007394171894306446,14.528311489561686,23.459361343918665,3.0657661708313433,0.0008467268702166031,B_weak_phys001_res020
full_cover,0.0009251806731449754,18.74829388028848,23.092081697824128,3.3244741391413335,0.0009412716485500716,C_balanced_phys010_res005
full_cover,0.0019211721932823832,-9.436338308071619,17.019854195889465,5.8769390217222846,0.0021087957185369614,D_strong_phys050_res002
narrow_centered,0.0006235535323194864,-1.3112691160262764,10.951065003566095,2.307891347429572,0.0008444573586359313,A_current_phys005_res010
narrow_centered,0.0005622719766045893,0.3962763506065813,10.99098139973772,2.3418930417562986,0.0006921286270803188,B_weak_phys001_res020
narrow_centered,0.0007711535731630959,0.35352334594364376,9.861324843762674,2.532301273970694,0.001039157081166192,C_balanced_phys010_res005
narrow_centered,0.0009343955146067628,-27.7906764401869,20.845192086940166,3.005366981665036,0.0012513046369918113,D_strong_phys050_res002
slight_shift_full_beam,0.000783090796939206,13.64313015070327,20.53742101738525,3.072441882802454,0.0008721429890839568,A_current_phys005_res010
slight_shift_full_beam,0.0006880650113741384,14.939472909746385,21.947468609304583,2.86960457101678,0.0008941053577046995,B_weak_phys001_res020
slight_shift_full_beam,0.0008850961068569525,16.51979505875437,20.897302616831826,3.3300880300246236,0.0009533657185035415,C_balanced_phys010_res005
slight_shift_full_beam,0.0015886277667356435,-10.04496177801825,14.898002092302136,4.618404132853786,0.0016945245730720327,D_strong_phys050_res002
strong_shift_full_beam,0.0007538074074605577,3.3874704298337175,12.55372194618986,2.78945457375199,0.0009137057781882634,A_current_phys005_res010
strong_shift_full_beam,0.000679503234571912,2.708523244548709,13.535907499983109,2.65958079312842,0.0007690721976159874,B_weak_phys001_res020
strong_shift_full_beam,0.0009532234730091045,4.695811884058614,12.977158842573516,3.0538425675261625,0.0010785531960747514,C_balanced_phys010_res005
strong_shift_full_beam,0.0012360721678304843,-20.077682597332497,16.158345284199097,3.5666062531588683,0.001221168397129562,D_strong_phys050_res002
