method,n,test_rmse_median,test_rmse_iqr,abs_final_err_median,final_err_median,fit_time_mean_s
ODE,20,37.10063494360241,3.4234738407743706,26.380698357688278,-23.83055208338938,4.31135
NODE,20,26.35026120201774,9.498261171615372,28.04220971254883,-24.553304113577873,13.05795
"PI_NODE(w=0.05,sr=0.1)",20,59.835120763568256,7.500108430124371,72.40264182989111,-72.40264182989111,27.79135
"PI_NODE(w=0.2,sr=0.05)",20,59.082876423339215,7.381887172123392,71.62127723994678,-71.62127723994678,27.821350000000002
FFR,20,72.46427247902807,5.20895269570876,85.2536893322777,-85.2536893322777,0.0
VGD,20,38.09093341981487,7.430575992192367,23.464482330584083,-23.464482330584083,2.45045
