method,n,test_rmse_median,test_rmse_iqr,abs_final_err_median,final_err_median,fit_time_mean_s
ODE,20,31.171983609336433,7.614607193421648,43.61185285043774,-43.51569044898253,4.872249999999999
NODE,20,13.158469818654485,18.33972753770179,20.639471581495414,20.639471581495414,12.41825
"PI_NODE(w=0.05,sr=0.1)",20,17.398656565899667,8.329510351822917,27.450809213753534,-27.450809213753534,26.56485
"PI_NODE(w=0.2,sr=0.05)",20,46.088613979843174,10.415325644910553,59.38331022182932,-59.38331022182932,26.84605
FFR,20,7.536110731184428,4.2810595557713835,9.707304290430333,9.657227875373415,0.0
