case,clean_fit_mse,final_error_percent,model,n_points,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
full_cover,0.0028442759012946455,9.613163139806641,PI-NODE-2state,5,0,21.685358451924838,8.876201992092932,0.002206153398026213
full_cover,0.0026820601689783903,29.298229173675058,PI-NODE-2state,5,1,34.07913775859437,7.940072759997302,0.0024146449126545124
full_cover,0.002635977329507479,22.206079450749556,PI-NODE-2state,5,2,28.3827287331194,8.300953413021176,0.0022291487674328545
full_cover,0.004587469337505791,9.772615841439517,PI-NODE-2state,5,3,22.159755582077782,11.01122016827161,0.003877338635669444
full_cover,0.0044593687545259175,5.481970579097181,PI-NODE-2state,5,4,20.622580084485147,10.970434056385757,0.004150577773763634
full_cover,0.0040841889077731066,35.797980629853356,PI-NODE-2state,5,5,36.757116866955045,9.835210408718499,0.0030974908280472792
full_cover,0.003467977918097152,9.393563022573133,PI-NODE-2state,5,6,22.087359887288947,9.48508067536651,0.003826552693358194
full_cover,0.0026721725645262075,2.546545043365811,PI-NODE-2state,5,7,19.583150255560184,8.350843897116487,0.00182220404638414
full_cover,0.004401082125019312,1.024178379013498,PI-NODE-2state,5,8,18.49134391816061,8.962997682358678,0.002321523873928344
full_cover,0.0038513055662208195,37.064683547728265,PI-NODE-2state,5,9,38.56639313011411,10.183770429650977,0.002683044700555028
full_cover,0.0023590354535065203,-19.865664382114865,PI-NODE-2state,5,10,16.605446624506037,7.606944341335112,0.002487909555184855
full_cover,0.0040895419690657455,39.41649713794598,PI-NODE-2state,5,11,39.274694111727726,9.124132733200941,0.002015526187234709
full_cover,0.00466230366293679,-3.438362736689822,PI-NODE-2state,5,12,16.346490009747402,9.336770775019888,0.004733797379254047
full_cover,0.0036486679173613557,36.083726357503245,PI-NODE-2state,5,13,37.520554801643165,8.580379024422063,0.0021645803839954727
full_cover,0.001727406406457644,13.455540551794986,PI-NODE-2state,5,14,23.79466119859147,6.511624946150453,0.001270020245770828
full_cover,0.0007806344935709375,28.540247636524683,PI-NODE-2state,5,15,34.74447622778843,4.470562765830753,0.0014361149898423394
full_cover,0.000693183689221369,42.42204777610252,PI-NODE-2state,5,16,44.422736850739355,3.627543109969506,0.00037075183387675476
full_cover,0.0012160287682404884,35.84502302395311,PI-NODE-2state,5,17,39.906813330744136,4.711317663562947,0.0015624946445508172
full_cover,0.0019127294075758593,26.529619640798646,PI-NODE-2state,5,18,32.58764392745207,6.4523073743600685,0.0019399872247922605
full_cover,0.0038699576402756687,14.011527707667579,PI-NODE-2state,5,19,21.84918145234454,10.170747976109396,0.00351314756407788
narrow_centered,0.0018360690809450717,0.1300386333857999,PI-NODE-2state,5,0,12.82010713604826,5.533264571195544,0.0021111063927376416
narrow_centered,0.0027331075046832,-7.714193496067349,PI-NODE-2state,5,1,10.133612836586533,6.515395837537829,0.002414974346758732
