case,clean_fit_mse,final_error_percent,model,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
full_cover,0.0015708143399926992,-15.350804743624641,ODE-2state,0,17.220274489953706,4.984029168204371,0.001349183202726308
full_cover,0.0011910129522749425,-13.337100941778678,ODE-2state,1,14.211758642611997,4.302156709262774,0.001012666314172768
full_cover,0.001133712339515722,-14.551287947302647,ODE-2state,2,13.1725321521286,3.6687138360005616,0.0007274344253774057
full_cover,0.0008908777024409394,-9.665604068567593,ODE-2state,3,11.535965241848121,3.456700159838478,0.0009399620298262679
full_cover,0.0004677726354921889,-10.920013852806708,ODE-2state,4,10.190178083670416,2.4765946927704507,0.00046938380315675527
full_cover,0.0007139209376960615,-6.14798482345956,ODE-2state,5,8.480257531788391,3.39517230504519,0.000624955356957456
full_cover,0.0008758749427732092,-9.471153709716809,ODE-2state,6,10.465850650805587,3.566973187112874,0.000682561279180325
full_cover,0.002216214820383655,-16.288460763024723,ODE-2state,7,21.993119579213047,6.533230854922675,0.0024152733506643286
full_cover,0.001144429424172586,-11.482493964119215,ODE-2state,8,13.931388166022037,4.120854025508647,0.001131647774755899
full_cover,0.0009955013605211576,-11.431602606197988,ODE-2state,9,13.46865007292346,3.8924755886990328,0.0010554623029891761
full_cover,0.0009419011759465494,-9.704384017669277,ODE-2state,10,13.04427660878543,3.689094401083299,0.0011325958994447963
full_cover,0.0008867009073486634,-10.699409253373661,ODE-2state,11,13.75928578337906,3.699913226349509,0.0010996773226307373
full_cover,0.0006057413237235195,-10.9815640879775,ODE-2state,12,10.947190282024069,2.82678773029829,0.0005823088843317343
full_cover,0.001248581026695938,-8.287354557278501,ODE-2state,13,14.039816917972761,4.2613114158253245,0.001532669181798421
full_cover,0.000948227560336947,-10.813099050963757,ODE-2state,14,13.642870883901844,3.8063132099847263,0.001109585608943107
full_cover,0.0019610498166474865,-14.372659586450672,ODE-2state,15,18.853267935574433,5.418973642569607,0.001865000002282922
full_cover,0.0006881979575140759,-11.577420033906595,ODE-2state,16,11.351255559130053,3.0833118647339286,0.0006706876346255547
full_cover,0.0006858210426264141,-12.043079143074685,ODE-2state,17,13.862734744934036,3.337379579002358,0.0010520435791476271
full_cover,0.001482899464849126,-9.159002396572683,ODE-2state,18,15.310933636271852,4.7436103083886065,0.0017189852643680133
full_cover,0.0018610642942137648,-2.2614101179195156,ODE-2state,19,13.395192068665827,6.3843186693919804,0.001632851794238465
full_cover,0.0023051340773897265,16.508671353241652,NODE-2state,0,16.909794452681783,5.70339250623102,0.0022988973324752473
full_cover,0.0033948600496133074,-28.108540891981338,NODE-2state,1,22.905454132454985,7.114065020605433,0.0030308045505799555
full_cover,0.0013305430042355596,24.77960286810149,NODE-2state,2,27.58245980125492,3.8259766953094916,0.0009380519282260445
full_cover,0.001813347381000625,42.16049338864744,NODE-2state,3,32.85896568901187,4.799458475955398,0.001994134264335845
