abs_e80_percent,case,joint_epochs,phi_epochs,test_rel_rmse_percent
24.41217608855252,full_cover,40,150,26.937652391434252
28.16492584678381,narrow_centered,40,150,23.14714344690271
28.328836101245557,slight_shift_full_beam,40,150,28.32257419049246
33.51257712761081,strong_shift_full_beam,40,150,28.155687511531227
15.805906301884765,full_cover,80,300,21.69715870603147
5.668699148330962,narrow_centered,80,300,11.30351558361362
11.42001965071906,slight_shift_full_beam,80,300,19.192802064474453
5.62886282186262,strong_shift_full_beam,80,300,12.2388501478386
12.961161061709205,full_cover,150,600,22.09364275690137
5.554722094565802,narrow_centered,150,600,10.951065003566095
13.64313015070327,slight_shift_full_beam,150,600,20.53742101738525
5.368296844134267,strong_shift_full_beam,150,600,12.55372194618986
